,Downtimeccategory,Date,Downtime Duration,Planned Operating Time (min)
3468,Actual Tonnage Produced during shift (tons),2023-12-17 0:00,223.78,720
3469,/Planned Operating Time (min),2023-12-18 0:00,720,720
3470,Coffee Break #1 ,2023-12-18 0:00,15,720
3471,Coffee Break #2 ,2023-12-18 0:00,15,720
3472,Lunch Break ,2023-12-18 0:00,45,720
3473,Safety Training,2023-12-18 0:00,20,720
3474,Startup,2023-12-18 0:00,11,720
3475,Mill Jam,2023-12-18 0:00,196,720
3476,DC Cooldown,2023-12-18 0:00,20,720
3477,Mag 1 Electric,2023-12-18 0:00,11,720
3478,Mag 2 Electric,2023-12-18 0:00,35,720
3479,Mag 3 Electric,2023-12-18 0:00,6,720
3480,Stacker Belt Jam,2023-12-18 0:00,16,720
3481,Actual Tonnage Produced during shift (tons),2023-12-18 0:00,276.31,720
3482,/Planned Operating Time (min),2023-12-19 0:00,720,720
3483,Coffee Break #1 ,2023-12-19 0:00,15,720
3484,Coffee Break #2 ,2023-12-19 0:00,15,720
3485,Lunch Break ,2023-12-19 0:00,30,720
3486,5S / Routine Cleaning,2023-12-19 0:00,30,720
3487,Safety Training,2023-12-19 0:00,20,720
3488,Startup,2023-12-19 0:00,15,720
3489,Mill Jam,2023-12-19 0:00,125,720
3490,DC Cooldown,2023-12-19 0:00,25,720
3491,Mag 1 Jam,2023-12-19 0:00,7,720
3492,Mag 2 Electric,2023-12-19 0:00,25,720
3493,Mag 3 Jam,2023-12-19 0:00,10,720
3494,Actual Tonnage Produced during shift (tons),2023-12-19 0:00,216.66,720
3495,/Planned Operating Time (min),2023-12-20 0:00,720,720
3496,Coffee Break #1 ,2023-12-20 0:00,15,720
3497,Coffee Break #2 ,2023-12-20 0:00,15,720
3498,Lunch Break ,2023-12-20 0:00,30,720
3499,Safety Training,2023-12-20 0:00,20,720
3500,Startup,2023-12-20 0:00,28,720
3501,DC Cooldown,2023-12-20 0:00,96,720
3502,Transfer Jam,2023-12-20 0:00,13,720
3503,Mag 2 Electric,2023-12-20 0:00,22,720
3504,Mag 3 Jam,2023-12-20 0:00,20,720
3505,Mag 3 Electric,2023-12-20 0:00,5,720
3506,Dirt 1 Jam,2023-12-20 0:00,17,720
3507,Primary Conveyor,2023-12-20 0:00,5,720
3508,Actual Tonnage Produced during shift (tons),2023-12-20 0:00,234.86,720
3509,/Planned Operating Time (min),2023-12-24 0:00,600,600
3510,Coffee Break #1 ,2023-12-24 0:00,15,600
3511,Coffee Break #2 ,2023-12-24 0:00,15,600
3512,Lunch Break ,2023-12-24 0:00,30,600
3513,5S / Routine Cleaning,2023-12-24 0:00,30,600
3514,Safety Training,2023-12-24 0:00,20,600
3515,Startup,2023-12-24 0:00,30,600
3516,DC Cooldown,2023-12-24 0:00,10,600
3517,Mag 2 Electric,2023-12-24 0:00,35,600
3518,Dirt 1 Jam,2023-12-24 0:00,7,600
3519,Actual Tonnage Produced during shift (tons),2023-12-24 0:00,321.16,600
3520,/Planned Operating Time (min),2023-12-25 0:00,720,720
3521,Coffee Break #1 ,2023-12-25 0:00,15,720
3522,Coffee Break #2 ,2023-12-25 0:00,15,720
3523,Lunch Break ,2023-12-25 0:00,45,720
3524,Safety Training,2023-12-25 0:00,20,720
3525,Startup,2023-12-25 0:00,15,720
3526,Waiting on Excavator,2023-12-25 0:00,10,720
3527,Transfer Belt,2023-12-25 0:00,180,720
3528,Mag 1 Jam,2023-12-25 0:00,16,720
3529,Mag 2 Jam,2023-12-25 0:00,20,720
3530,Mag 2 Electric,2023-12-25 0:00,35,720
3531,Mag 3 Jam,2023-12-25 0:00,30,720
3532,NFC 1 Jam,2023-12-25 0:00,5,720
3533,Stacker Belt Jam,2023-12-25 0:00,5,720
3534,Actual Tonnage Produced during shift (tons),2023-12-25 0:00,213.84,720
3535,/Planned Operating Time (min),2023-12-26 0:00,720,720
3536,Coffee Break #1 ,2023-12-26 0:00,15,720
3537,Coffee Break #2 ,2023-12-26 0:00,15,720
3538,Lunch Break ,2023-12-26 0:00,45,720
3539,Safety Training,2023-12-26 0:00,20,720
3540,Startup,2023-12-26 0:00,14,720
3541,Explosion,2023-12-26 0:00,5,720
3542,Feed roll Jam,2023-12-26 0:00,10,720
3543,Shaker Jam,2023-12-26 0:00,20,720
3544,Mag 1 Jam,2023-12-26 0:00,40,720
3545,Mag 2 Jam,2023-12-26 0:00,48,720
3546,Mag 2 Electric,2023-12-26 0:00,20,720
3547,Mag 3 Jam,2023-12-26 0:00,36,720
3548,Mag 3 Electric,2023-12-26 0:00,5,720
3549,Actual Tonnage Produced during shift (tons),2023-12-26 0:00,327.56,720
3550,/Planned Operating Time (min),2023-12-27 0:00,420,420
3551,Coffee Break #1 ,2023-12-27 0:00,15,420
3552,Coffee Break #2 ,2023-12-27 0:00,15,420
3553,Safety Training,2023-12-27 0:00,15,420
3554,Startup,2023-12-27 0:00,15,420
3555,Mag 1 Jam,2023-12-27 0:00,16,420
3556,Mag 2 Jam,2023-12-27 0:00,65,420
3557,Mag 2 Electric,2023-12-27 0:00,20,420
3558,Mag 3 Jam,2023-12-27 0:00,15,420
3559,Mag 3 Electric,2023-12-27 0:00,10,420
3560,NFC 1 Jam,2023-12-27 0:00,5,420
3561,Actual Tonnage Produced during shift (tons),2023-12-27 0:00,204.34,420
3562,/Planned Operating Time (min),2023-12-30 0:00,600,600
3563,Coffee Break #1 ,2023-12-30 0:00,15,600
3564,Coffee Break #2 ,2023-12-30 0:00,15,600
3565,Lunch Break ,2023-12-30 0:00,30,600
3566,Safety Training,2023-12-30 0:00,30,600
3567,Startup,2023-12-30 0:00,15,600
3568,Machine Misc,2023-12-30 0:00,30,600
3569,DC Cooldown,2023-12-30 0:00,58,600
3570,Mag 1 Jam,2023-12-30 0:00,6,600
3571,Mag 2 Jam,2023-12-30 0:00,20,600
3572,Mag 2 Electric,2023-12-30 0:00,15,600
3573,Mag 3 Jam,2023-12-30 0:00,10,600
3574,Mag 3 Electric,2023-12-30 0:00,4,600
3575,Dirt 1 Pullcord,2023-12-30 0:00,2,600
3576,Actual Tonnage Produced during shift (tons),2023-12-30 0:00,252.5,600
3577,/Planned Operating Time (min),2023-12-31 0:00,600,600
3578,Coffee Break #1 ,2023-12-31 0:00,15,600
3579,Coffee Break #2 ,2023-12-31 0:00,15,600
3580,Lunch Break ,2023-12-31 0:00,30,600
3581,5S / Routine Cleaning,2023-12-31 0:00,30,600
3582,Safety Training,2023-12-31 0:00,20,600
3583,Startup,2023-12-31 0:00,16,600
3584,Mill Jam,2023-12-31 0:00,315,600
3585,Mag 1 Jam,2023-12-31 0:00,4,600
3586,Mag 2 Jam,2023-12-31 0:00,10,600
3587,Mag 2 Electric,2023-12-31 0:00,8,600
3588,Mag 3 Jam,2023-12-31 0:00,5,600
3589,Actual Tonnage Produced during shift (tons),2023-12-31 0:00,100.92,600
3590,/Planned Operating Time (min),2022-01-05 0:00,600,600
3591,Coffee Break #1 ,2022-01-05 0:00,15,600
3592,Coffee Break #2 ,2022-01-05 0:00,15,600
3593,Lunch Break ,2022-01-05 0:00,30,600
3594,5S / Routine Cleaning,2022-01-05 0:00,30,600
3595,Safety Training,2022-01-05 0:00,20,600
3596,Startup,2022-01-05 0:00,17,600
3597,Machine Misc,2022-01-05 0:00,30,600
3598,Feed roll Jam,2022-01-05 0:00,30,600
3599,Mag 1 Jam,2022-01-05 0:00,5,600
3600,Mag 2 Jam,2022-01-05 0:00,11,600
3601,Mag 2 Electric,2022-01-05 0:00,10,600
3602,Mag 3 Jam,2022-01-05 0:00,6,600
3603,Mag 3 Electric,2022-01-05 0:00,9,600
3604,Actual Tonnage Produced during shift (tons),2022-01-05 0:00,222,600
3605,/Planned Operating Time (min),2022-01-06 0:00,600,600
3606,Coffee Break #1 ,2022-01-06 0:00,15,600
3607,Coffee Break #2 ,2022-01-06 0:00,15,600
3608,Lunch Break ,2022-01-06 0:00,30,600
3609,Morning Meeting,2022-01-06 0:00,15,600
3610,Safety Updates,2022-01-06 0:00,525,600
3611,/Planned Operating Time (min),2022-01-07 0:00,600,600
3612,Coffee Break #1 ,2022-01-07 0:00,15,600
3613,Coffee Break #2 ,2022-01-07 0:00,15,600
3614,Lunch Break ,2022-01-07 0:00,30,600
3615,Morning Meeting,2022-01-07 0:00,15,600
3616,Safety Updates,2022-01-07 0:00,525,600
3617,/Planned Operating Time (min),2022-01-08 0:00,600,600
3618,Coffee Break #1 ,2022-01-08 0:00,15,600
3619,Coffee Break #2 ,2022-01-08 0:00,15,600
3620,Lunch Break ,2022-01-08 0:00,30,600
3621,Morning Meeting,2022-01-08 0:00,15,600
3622,Safety Updates,2022-01-08 0:00,525,600
3623,/Planned Operating Time (min),2022-01-09 0:00,600,600
3624,Coffee Break #1 ,2022-01-09 0:00,15,600
3625,Coffee Break #2 ,2022-01-09 0:00,15,600
3626,Lunch Break ,2022-01-09 0:00,30,600
3627,Morning Meeting,2022-01-09 0:00,30,600
3628,Safety Updates,2022-01-09 0:00,330,600
3629,Mag 1 Jam,2022-01-09 0:00,45,600
3630,Dirt 1 Jam,2022-01-09 0:00,97,600
3631,Actual Tonnage Produced during shift (tons),2022-01-09 0:00,3.51,600
3632,/Planned Operating Time (min),2022-01-10 0:00,600,600
3633,Coffee Break #1 ,2022-01-10 0:00,15,600
3634,Coffee Break #2 ,2022-01-10 0:00,15,600
3635,Lunch Break ,2022-01-10 0:00,30,600
3636,Actual Tonnage Produced during shift (tons),2022-01-10 0:00,44,600
3637,/Planned Operating Time (min),2022-01-14 0:00,600,600
3638,Coffee Break #1 ,2022-01-14 0:00,15,600
3639,Coffee Break #2 ,2022-01-14 0:00,15,600
3640,Lunch Break ,2022-01-14 0:00,30,600
3641,Pre-shift Inspection,2022-01-14 0:00,7,600
3642,Startup,2022-01-14 0:00,5,600
3643,Morning Meeting,2022-01-14 0:00,23,600
3644,Mill Jam,2022-01-14 0:00,277,600
3645,Mag 1 Jam,2022-01-14 0:00,11,600
3646,Mag 1 Electric,2022-01-14 0:00,6,600
3647,Mag 2 Jam,2022-01-14 0:00,36,600
3648,Mag 3 Jam,2022-01-14 0:00,7,600
3649,Mag 3 Electric,2022-01-14 0:00,15,600
3650,Actual Tonnage Produced during shift (tons),2022-01-14 0:00,65.2,600
3651,/Planned Operating Time (min),2022-01-16 0:00,600,600
3652,Coffee Break #1 ,2022-01-16 0:00,15,600
3653,Coffee Break #2 ,2022-01-16 0:00,15,600
3654,Lunch Break ,2022-01-16 0:00,30,600
3655,Pre-shift Inspection,2022-01-16 0:00,7,600
3656,Startup,2022-01-16 0:00,8,600
3657,Morning Meeting,2022-01-16 0:00,30,600
3658,Other 4 (add columns if needed),2022-01-16 0:00,60,600
3659,Mag 1 Jam,2022-01-16 0:00,17,600
3660,Mag 1 Electric,2022-01-16 0:00,28,600
3661,Mag 2 Electric,2022-01-16 0:00,3,600
3662,Actual Tonnage Produced during shift (tons),2022-01-16 0:00,289.48,600
3663,/Planned Operating Time (min),2022-01-17 0:00,600,600
3664,Coffee Break #1 ,2022-01-17 0:00,15,600
3665,Coffee Break #2 ,2022-01-17 0:00,15,600
3666,Lunch Break ,2022-01-17 0:00,30,600
3667,Pre-shift Inspection,2022-01-17 0:00,10,600
3668,5S / Routine Cleaning,2022-01-17 0:00,30,600
3669,Startup,2022-01-17 0:00,7,600
3670,Morning Meeting,2022-01-17 0:00,20,600
3671,Short Staff,2022-01-17 0:00,60,600
3672,Feed roll Tripped,2022-01-17 0:00,4,600
3673,Mag 1 Jam,2022-01-17 0:00,40,600
3674,Mag 1 Electric,2022-01-17 0:00,9,600
3675,Mag 3 Jam,2022-01-17 0:00,30,600
3676,Actual Tonnage Produced during shift (tons),2022-01-17 0:00,280.2,600
3677,/Planned Operating Time (min),2022-01-20 0:00,600,600
3678,Coffee Break #1 ,2022-01-20 0:00,15,600
3679,Coffee Break #2 ,2022-01-20 0:00,15,600
3680,Lunch Break ,2022-01-20 0:00,30,600
3681,Pre-shift Inspection,2022-01-20 0:00,2,600
3682,5S / Routine Cleaning,2022-01-20 0:00,6,600
3683,Startup,2022-01-20 0:00,5,600
3684,Morning Meeting,2022-01-20 0:00,8,600
3685,Fires,2022-01-20 0:00,10,600
3686,Short Staff,2022-01-20 0:00,80,600
3687,Shaker Jam,2022-01-20 0:00,43,600
3688,Mag 1 Jam,2022-01-20 0:00,93,600
3689,Mag 1 Electric,2022-01-20 0:00,9,600
3690,Mag 2 Jam,2022-01-20 0:00,69,600
3691,NFC 1 Jam,2022-01-20 0:00,123,600
3692,Actual Tonnage Produced during shift (tons),2022-01-20 0:00,117.3,600
3693,/Planned Operating Time (min),2022-01-21 0:00,600,600
3694,Coffee Break #1 ,2022-01-21 0:00,15,600
3695,Coffee Break #2 ,2022-01-21 0:00,15,600
3696,Lunch Break ,2022-01-21 0:00,30,600
3697,Pre-shift Inspection,2022-01-21 0:00,10,600
3698,5S / Routine Cleaning,2022-01-21 0:00,20,600
3699,Startup,2022-01-21 0:00,8,600
3700,Morning Meeting,2022-01-21 0:00,40,600
3701,Mag 1 Jam,2022-01-21 0:00,18,600
3702,Mag 1 Electric,2022-01-21 0:00,33,600
3703,Mag 2 Jam,2022-01-21 0:00,10,600
3704,Mag 2 Electric,2022-01-21 0:00,6,600
3705,Mag 3 Jam,2022-01-21 0:00,26,600
3706,Actual Tonnage Produced during shift (tons),2022-01-21 0:00,304.29,600
3707,/Planned Operating Time (min),2022-01-22 0:00,600,600
3708,Coffee Break #1 ,2022-01-22 0:00,15,600
3709,Coffee Break #2 ,2022-01-22 0:00,15,600
3710,Lunch Break ,2022-01-22 0:00,30,600
3711,Pre-shift Inspection,2022-01-22 0:00,10,600
3712,5S / Routine Cleaning,2022-01-22 0:00,20,600
3713,Startup,2022-01-22 0:00,7,600
3714,Morning Meeting,2022-01-22 0:00,15,600
3715,Short Staff,2022-01-22 0:00,120,600
3716,Mag 1 Electric,2022-01-22 0:00,121,600
3717,Mag 2 Jam,2022-01-22 0:00,44,600
3718,Mag 3 Jam,2022-01-22 0:00,19,600
3719,Mag 3 Electric,2022-01-22 0:00,3,600
3720,NFC 1 Jam,2022-01-22 0:00,46,600
3721,Actual Tonnage Produced during shift (tons),2022-01-22 0:00,105.88,600
3722,/Planned Operating Time (min),2022-01-23 0:00,600,600
3723,Coffee Break #1 ,2022-01-23 0:00,15,600
3724,Coffee Break #2 ,2022-01-23 0:00,15,600
3725,Lunch Break ,2022-01-23 0:00,30,600
3726,Pre-shift Inspection,2022-01-23 0:00,10,600
3727,5S / Routine Cleaning,2022-01-23 0:00,30,600
3728,Startup,2022-01-23 0:00,5,600
3729,Morning Meeting,2022-01-23 0:00,20,600
3730,Mag 1 Jam,2022-01-23 0:00,47,600
3731,Mag 2 Electric,2022-01-23 0:00,7,600
3732,Mag 3 Jam,2022-01-23 0:00,69,600
3733,Mag 3 Electric,2022-01-23 0:00,8,600
3734,ECS 1 Jam ,2022-01-23 0:00,82,600
3735,Actual Tonnage Produced during shift (tons),2022-01-23 0:00,173.57,600
3736,/Planned Operating Time (min),2022-01-24 0:00,600,600
3737,Coffee Break #1 ,2022-01-24 0:00,15,600
3738,Coffee Break #2 ,2022-01-24 0:00,15,600
3739,Lunch Break ,2022-01-24 0:00,30,600
3740,Pre-shift Inspection,2022-01-24 0:00,22,600
3741,5S / Routine Cleaning,2022-01-24 0:00,30,600
3742,Startup,2022-01-24 0:00,10,600
3743,Morning Meeting,2022-01-24 0:00,20,600
3744,Delay of planned maintenance,2022-01-24 0:00,45,600
3745,Mag 1 Jam,2022-01-24 0:00,68,600
3746,Electrical Misc,2022-01-24 0:00,82,600
3747,Actual Tonnage Produced during shift (tons),2022-01-24 0:00,198.2,600
3748,/Planned Operating Time (min),2022-01-27 0:00,600,600
3749,Coffee Break #1 ,2022-01-27 0:00,15,600
3750,Coffee Break #2 ,2022-01-27 0:00,15,600
3751,Lunch Break ,2022-01-27 0:00,30,600
3752,5S / Routine Cleaning,2022-01-27 0:00,30,600
3753,Morning Meeting,2022-01-27 0:00,25,600
3754,Mag 1 Jam,2022-01-27 0:00,485,600
3755,/Planned Operating Time (min),2022-01-28 0:00,600,600
3756,Coffee Break #1 ,2022-01-28 0:00,15,600
3757,Coffee Break #2 ,2022-01-28 0:00,15,600
3758,Lunch Break ,2022-01-28 0:00,30,600
3759,Pre-shift Inspection,2022-01-28 0:00,8,600
3760,5S / Routine Cleaning,2022-01-28 0:00,25,600
3761,Startup,2022-01-28 0:00,7,600
3762,Morning Meeting,2022-01-28 0:00,25,600
3763,Transfer Belt,2022-01-28 0:00,40,600
3764,Mag 1 Jam,2022-01-28 0:00,285,600
3765,Mag 1 Electric,2022-01-28 0:00,3,600
3766,Mag 2 Jam,2022-01-28 0:00,16,600
3767,Mag 3 Belt,2022-01-28 0:00,15,600
3768,Actual Tonnage Produced during shift (tons),2022-01-28 0:00,96.76,600
3769,/Planned Operating Time (min),2022-01-29 0:00,660,660
3770,Coffee Break #1 ,2022-01-29 0:00,15,660
3771,Coffee Break #2 ,2022-01-29 0:00,15,660
3772,Lunch Break ,2022-01-29 0:00,30,660
3773,Pre-shift Inspection,2022-01-29 0:00,25,660
3774,Startup,2022-01-29 0:00,9,660
3775,Fires,2022-01-29 0:00,3,660
3776,Feed roll Tripped,2022-01-29 0:00,10,660
3777,Transfer Belt,2022-01-29 0:00,10,660
3778,Mag 1 Jam,2022-01-29 0:00,85,660
3779,Mag 2 Electric,2022-01-29 0:00,10,660
3780,Dirt 1 Jam,2022-01-29 0:00,15,660
3781,Primary Tail,2022-01-29 0:00,84,660
3782,NFC 1 Jam,2022-01-29 0:00,30,660
3783,Actual Tonnage Produced during shift (tons),2022-01-29 0:00,278.21,660
3784,/Planned Operating Time (min),2022-01-30 0:00,720,720
3785,Coffee Break #1 ,2022-01-30 0:00,15,720
3786,Coffee Break #2 ,2022-01-30 0:00,15,720
3787,Lunch Break ,2022-01-30 0:00,30,720
3788,Pre-shift Inspection,2022-01-30 0:00,10,720
3789,Startup,2022-01-30 0:00,10,720
3790,Fires,2022-01-30 0:00,5,720
3791,Short Staff,2022-01-30 0:00,60,720
3792,Infeed Hydraulics,2022-01-30 0:00,11,720
3793,Feed roll Tripped,2022-01-30 0:00,202,720
3794,Mag 1 Jam,2022-01-30 0:00,40,720
3795,Mag 1 Electric,2022-01-30 0:00,6,720
3796,Mag 2 Jam,2022-01-30 0:00,75,720
3797,Mag 2 Electric,2022-01-30 0:00,24,720
3798,Mag 3 Electric,2022-01-30 0:00,5,720
3799,Actual Tonnage Produced during shift (tons),2022-01-30 0:00,188.17,720
3800,/Planned Operating Time (min),2022-01-31 0:00,600,600
3801,Coffee Break #1 ,2022-01-31 0:00,15,600
3802,Coffee Break #2 ,2022-01-31 0:00,15,600
3803,Lunch Break ,2022-01-31 0:00,30,600
3804,Pre-shift Inspection,2022-01-31 0:00,10,600
3805,5S / Routine Cleaning,2022-01-31 0:00,30,600
3806,Startup,2022-01-31 0:00,9,600
3807,Morning Meeting,2022-01-31 0:00,5,600
3808,Mag 1 Jam,2022-01-31 0:00,34,600
3809,Mag 2 Jam,2022-01-31 0:00,20,600
3810,Mag 2 Electric,2022-01-31 0:00,11,600
3811,Mag 3 Electric,2022-01-31 0:00,7,600
3812,Actual Tonnage Produced during shift (tons),2022-01-31 0:00,376.74,600
3813,/Planned Operating Time (min),2022-02-01 0:00,480,480
3814,Coffee Break #1 ,2022-02-01 0:00,15,480
3815,Coffee Break #2 ,2022-02-01 0:00,15,480
3816,Lunch Break ,2022-02-01 0:00,30,480
3817,Pre-shift Inspection,2022-02-01 0:00,14,480
3818,5S / Routine Cleaning,2022-02-01 0:00,30,480
3819,Startup,2022-02-01 0:00,14,480
3820,Morning Meeting,2022-02-01 0:00,10,480
3821,Short Staff,2022-02-01 0:00,20,480
3822,Mag 1 Jam,2022-02-01 0:00,17,480
3823,Mag 1 Electric,2022-02-01 0:00,8,480
3824,Mag 2 Jam,2022-02-01 0:00,10,480
3825,Mag 2 Electric,2022-02-01 0:00,5,480
3826,Mag 3 Electric,2022-02-01 0:00,5,480
3827,Dirt 1 Jam,2022-02-01 0:00,53,480
3828,NFC 1 Jam,2022-02-01 0:00,52,480
3829,Actual Tonnage Produced during shift (tons),2022-02-01 0:00,148.66,480
3830,/Planned Operating Time (min),2022-02-03 0:00,600,600
3831,Coffee Break #1 ,2022-02-03 0:00,15,600
3832,Coffee Break #2 ,2022-02-03 0:00,15,600
3833,Lunch Break ,2022-02-03 0:00,30,600
3834,Pre-shift Inspection,2022-02-03 0:00,20,600
3835,5S / Routine Cleaning,2022-02-03 0:00,20,600
3836,Startup,2022-02-03 0:00,15,600
3837,Mag 1 Electric,2022-02-03 0:00,12,600
3838,Mag 2 Jam,2022-02-03 0:00,25,600
3839,Mag 2 Electric,2022-02-03 0:00,5,600
3840,Mag 3 Electric,2022-02-03 0:00,3,600
3841,Actual Tonnage Produced during shift (tons),2022-02-03 0:00,405.97,600
3842,/Planned Operating Time (min),2022-02-04 0:00,600,600
3843,Coffee Break #1 ,2022-02-04 0:00,15,600
3844,Coffee Break #2 ,2022-02-04 0:00,15,600
3845,Lunch Break ,2022-02-04 0:00,30,600
3846,Pre-shift Inspection,2022-02-04 0:00,5,600
3847,5S / Routine Cleaning,2022-02-04 0:00,30,600
3848,Safety Training,2022-02-04 0:00,135,600
3849,Startup,2022-02-04 0:00,6,600
3850,Morning Meeting,2022-02-04 0:00,20,600
3851,Mag 1 Jam,2022-02-04 0:00,60,600
3852,Mag 1 Electric,2022-02-04 0:00,26,600
3853,Mag 2 Jam,2022-02-04 0:00,11,600
3854,Mag 2 Electric,2022-02-04 0:00,5,600
3855,Actual Tonnage Produced during shift (tons),2022-02-04 0:00,185,600
3856,/Planned Operating Time (min),2022-02-09 0:00,600,600
3857,Coffee Break #1 ,2022-02-09 0:00,15,600
3858,Coffee Break #2 ,2022-02-09 0:00,15,600
3859,Lunch Break ,2022-02-09 0:00,30,600
3860,Pre-shift Inspection,2022-02-09 0:00,15,600
3861,5S / Routine Cleaning,2022-02-09 0:00,30,600
3862,Safety Training,2022-02-09 0:00,15,600
3863,Startup,2022-02-09 0:00,10,600
3864,Mag 1 Jam,2022-02-09 0:00,30,600
3865,Mag 1 Belt,2022-02-09 0:00,3,600
3866,Mag 1 Electric,2022-02-09 0:00,21,600
3867,Mag 2 Jam,2022-02-09 0:00,6,600
3868,Mag 2 Belt,2022-02-09 0:00,3,600
3869,Mag 3 Belt,2022-02-09 0:00,4,600
3870,Dirt 1 Jam,2022-02-09 0:00,40,600
3871,East Conveyor,2022-02-09 0:00,40,600
3872,Actual Tonnage Produced during shift (tons),2022-02-09 0:00,285.14,600
3873,/Planned Operating Time (min),2022-02-10 0:00,600,600
3874,Coffee Break #1 ,2022-02-10 0:00,15,600
3875,Coffee Break #2 ,2022-02-10 0:00,15,600
3876,Lunch Break ,2022-02-10 0:00,30,600
3877,Pre-shift Inspection,2022-02-10 0:00,8,600
3878,5S / Routine Cleaning,2022-02-10 0:00,30,600
3879,Safety Training,2022-02-10 0:00,15,600
3880,Startup,2022-02-10 0:00,7,600
3881,Feed roll Belt,2022-02-10 0:00,27,600
3882,Mag 1 Jam,2022-02-10 0:00,24,600
3883,Mag 1 Electric,2022-02-10 0:00,31,600
3884,Mag 2 Jam,2022-02-10 0:00,48,600
3885,Mag 3 Jam,2022-02-10 0:00,10,600
3886,Stacker Belt Jam,2022-02-10 0:00,15,600
3887,Actual Tonnage Produced during shift (tons),2022-02-10 0:00,203.43,600
3888,/Planned Operating Time (min),2022-02-11 0:00,600,600
3889,Coffee Break #1 ,2022-02-11 0:00,15,600
3890,Coffee Break #2 ,2022-02-11 0:00,15,600
3891,Lunch Break ,2022-02-11 0:00,30,600
3892,Pre-shift Inspection,2022-02-11 0:00,8,600
3893,5S / Routine Cleaning,2022-02-11 0:00,30,600
3894,Safety Training,2022-02-11 0:00,150,600
3895,Startup,2022-02-11 0:00,7,600
3896,Infeed Jam,2022-02-11 0:00,60,600
3897,Feed roll Tripped,2022-02-11 0:00,5,600
3898,Mag 1 Jam,2022-02-11 0:00,42,600
3899,Mag 2 Jam,2022-02-11 0:00,11,600
3900,Mag 3 Jam,2022-02-11 0:00,6,600
3901,Actual Tonnage Produced during shift (tons),2022-02-11 0:00,153.74,600
3902,/Planned Operating Time (min),2022-02-12 0:00,600,600
3903,Coffee Break #1 ,2022-02-12 0:00,15,600
3904,Coffee Break #2 ,2022-02-12 0:00,15,600
3905,Lunch Break ,2022-02-12 0:00,30,600
3906,Pre-shift Inspection,2022-02-12 0:00,10,600
3907,5S / Routine Cleaning,2022-02-12 0:00,10,600
3908,Safety Training,2022-02-12 0:00,15,600
3909,Startup,2022-02-12 0:00,10,600
3910,Short Staff,2022-02-12 0:00,55,600
3911,Feed roll Tripped,2022-02-12 0:00,31,600
3912,Mag 1 Jam,2022-02-12 0:00,71,600
3913,Mag 2 Jam,2022-02-12 0:00,31,600
3914,Mag 3 Jam,2022-02-12 0:00,9,600
3915,Actual Tonnage Produced during shift (tons),2022-02-12 0:00,173.64,600
3916,/Planned Operating Time (min),2022-02-15 0:00,600,600
3917,Coffee Break #1 ,2022-02-15 0:00,15,600
3918,Coffee Break #2 ,2022-02-15 0:00,15,600
3919,Lunch Break ,2022-02-15 0:00,30,600
3920,Pre-shift Inspection,2022-02-15 0:00,5,600
3921,5S / Routine Cleaning,2022-02-15 0:00,30,600
3922,Startup,2022-02-15 0:00,5,600
3923,Waiting on Excavator,2022-02-15 0:00,10,600
3924,Feed roll Tripped,2022-02-15 0:00,15,600
3925,Mag 1 Jam,2022-02-15 0:00,70,600
3926,Mag 3 Jam,2022-02-15 0:00,18,600
3927,West Conveyor,2022-02-15 0:00,7,600
3928,Actual Tonnage Produced during shift (tons),2022-02-15 0:00,252.17,600
3929,/Planned Operating Time (min),2022-02-16 0:00,600,600
3930,Coffee Break #1 ,2022-02-16 0:00,15,600
3931,Coffee Break #2 ,2022-02-16 0:00,15,600
3932,Lunch Break ,2022-02-16 0:00,30,600
3933,Pre-shift Inspection,2022-02-16 0:00,6,600
3934,5S / Routine Cleaning,2022-02-16 0:00,30,600
3935,Safety Training,2022-02-16 0:00,260,600
3936,Startup,2022-02-16 0:00,6,600
3937,Mag 1 Jam,2022-02-16 0:00,10,600
3938,Mag 1 Electric,2022-02-16 0:00,4,600
3939,Mag 2 Jam,2022-02-16 0:00,10,600
3940,Mag 2 Electric,2022-02-16 0:00,10,600
3941,Mag 3 Jam,2022-02-16 0:00,4,600
3942,Actual Tonnage Produced during shift (tons),2022-02-16 0:00,132.29,600
3943,/Planned Operating Time (min),2022-02-17 0:00,600,600
3944,Coffee Break #1 ,2022-02-17 0:00,15,600
3945,Coffee Break #2 ,2022-02-17 0:00,15,600
3946,Lunch Break ,2022-02-17 0:00,30,600
3947,Pre-shift Inspection,2022-02-17 0:00,7,600
3948,5S / Routine Cleaning,2022-02-17 0:00,15,600
3949,Safety Training,2022-02-17 0:00,60,600
3950,Startup,2022-02-17 0:00,8,600
3951,Delay of planned maintenance,2022-02-17 0:00,55,600
3952,Feed roll Tripped,2022-02-17 0:00,15,600
3953,Mag 1 Jam,2022-02-17 0:00,52,600
3954,Mag 2 Jam,2022-02-17 0:00,12,600
3955,Mag 3 Jam,2022-02-17 0:00,32,600
3956,Actual Tonnage Produced during shift (tons),2022-02-17 0:00,196.06,600
3957,/Planned Operating Time (min),2022-02-18 0:00,600,600
3958,Coffee Break #1 ,2022-02-18 0:00,15,600
3959,Coffee Break #2 ,2022-02-18 0:00,15,600
3960,Lunch Break ,2022-02-18 0:00,30,600
3961,Pre-shift Inspection,2022-02-18 0:00,26,600
3962,5S / Routine Cleaning,2022-02-18 0:00,25,600
